,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_macro_f1,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.0853,1.7506234413965088e-05,0.62,500,,,,,,,,,,,,,,
1,,,1.0,802,0.9896448850631714,0.559263880224579,0.5305444615587465,0.559263880224579,0.39247385750034236,0.5006551650380716,690.1491,4.645,0.291,,,,,
2,0.9785,1.5012468827930176e-05,1.25,1000,,,,,,,,,,,,,,
3,0.8854,1.2518703241895263e-05,1.87,1500,,,,,,,,,,,,,,
4,,,2.0,1604,0.9645569920539856,0.570804741110418,0.577029761284711,0.570804741110418,0.46512705112477437,0.5616137154909063,720.0638,4.452,0.279,,,,,
5,0.7506,1.002493765586035e-05,2.49,2000,,,,,,,,,,,,,,
6,,,3.0,2406,1.0637093782424927,0.5573923892701186,0.5559246948362158,0.5573923892701186,0.46827971560836057,0.5544994078870417,806.4494,3.975,0.249,,,,,
7,0.6777,7.531172069825436e-06,3.12,2500,,,,,,,,,,,,,,
8,0.5475,5.037406483790524e-06,3.74,3000,,,,,,,,,,,,,,
9,,,4.0,3208,1.2122554779052734,0.5483468496568933,0.5396526302882879,0.5483468496568933,0.45705061891847387,0.5405295156020858,556.7945,5.758,0.361,,,,,
10,0.4648,2.543640897755611e-06,4.36,3500,,,,,,,,,,,,,,
11,0.4286,4.987531172069826e-08,4.99,4000,,,,,,,,,,,,,,
12,,,5.0,4010,1.2710233926773071,0.5586400499064255,0.5486221336389075,0.5586400499064255,0.4599963423584198,0.5520512425318324,762.0158,4.207,0.264,,,,,
13,,,5.0,4010,,,,,,,,,,43725.3152,1.466,0.092,2122865777356800.0,0.7264656186401101
