,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_macro_f1,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.0701,1.7506234413965088e-05,0.62,500,,,,,,,,,,,,,,
1,,,1.0,802,0.9658401608467102,0.5698689956331878,0.5487189028290487,0.5698689956331878,0.4455405348512238,0.5435482329831194,1643.4643,1.951,0.122,,,,,
2,0.9403,1.5012468827930176e-05,1.25,1000,,,,,,,,,,,,,,
3,0.8419,1.2518703241895263e-05,1.87,1500,,,,,,,,,,,,,,
4,,,2.0,1604,0.9252492785453796,0.5935745477230193,0.6015937185228561,0.5935745477230193,0.4986903531402751,0.5891990655770556,652.0729,4.917,0.308,,,,,
5,0.7045,1.002493765586035e-05,2.49,2000,,,,,,,,,,,,,,
6,,,3.0,2406,1.008618950843811,0.5786026200873362,0.5867210087097521,0.5786026200873362,0.5052233432641241,0.5813868393770047,859.1977,3.731,0.234,,,,,
7,0.6263,7.531172069825436e-06,3.12,2500,,,,,,,,,,,,,,
8,0.4982,5.037406483790524e-06,3.74,3000,,,,,,,,,,,,,,
9,,,4.0,3208,1.1546132564544678,0.5726762320648784,0.5710001854324799,0.5726762320648784,0.48613163080023253,0.5704170525474976,578.8693,5.538,0.347,,,,,
10,0.4206,2.543640897755611e-06,4.36,3500,,,,,,,,,,,,,,
11,0.3801,4.987531172069826e-08,4.99,4000,,,,,,,,,,,,,,
12,,,5.0,4010,1.2210043668746948,0.5820336868371803,0.5763847095520912,0.5820336868371803,0.4914471956856031,0.5785161036548613,564.708,5.677,0.356,,,,,
13,,,5.0,4010,,,,,,,,,,51813.3677,1.237,0.077,2122865777356800.0,0.6844786065475007
