,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_macro_f1,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.0788,1.7506234413965088e-05,0.62,500,,,,,,,,,,,,,,
1,,,1.0,802,0.9917516708374023,0.5514660012476607,0.5253697164872363,0.5514660012476607,0.39894065996904005,0.5148519455261101,509.6143,6.291,0.394,,,,,
2,0.9833,1.5012468827930176e-05,1.25,1000,,,,,,,,,,,,,,
3,0.8875,1.2518703241895263e-05,1.87,1500,,,,,,,,,,,,,,
4,,,2.0,1604,0.9773639440536499,0.5648783530879601,0.5640018156178865,0.5648783530879601,0.46332054788656885,0.5591517624050263,527.9851,6.072,0.381,,,,,
5,0.751,1.002493765586035e-05,2.49,2000,,,,,,,,,,,,,,
6,,,3.0,2406,1.0811371803283691,0.5630068621334997,0.5603807262732502,0.5630068621334997,0.4597256810406277,0.5559062835691457,519.1939,6.175,0.387,,,,,
7,0.6825,7.531172069825436e-06,3.12,2500,,,,,,,,,,,,,,
8,0.5524,5.037406483790524e-06,3.74,3000,,,,,,,,,,,,,,
9,,,4.0,3208,1.2002673149108887,0.5605115408608858,0.5481017881621748,0.5605115408608858,0.45850397717685726,0.5523719307430579,499.1655,6.423,0.403,,,,,
10,0.4875,2.543640897755611e-06,4.36,3500,,,,,,,,,,,,,,
11,0.4249,4.987531172069826e-08,4.99,4000,,,,,,,,,,,,,,
12,,,5.0,4010,1.2703138589859009,0.5676855895196506,0.5564237246024459,0.5676855895196506,0.4589360323224269,0.559882978100444,578.3742,5.543,0.348,,,,,
13,,,5.0,4010,,,,,,,,,,30878.9548,2.076,0.13,2122865777356800.0,0.7305248786089129
