,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_macro_f1,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.0934,1.8753117206982545e-05,0.62,500,,,,,,,,,,,,,,
1,,,1.0,802,1.0144678354263306,0.5492825951341235,0.5239161202720954,0.5492825951341235,0.34217971774188516,0.4911114269687888,565.0376,5.674,0.356,,,,,
2,1.0076,1.7506234413965088e-05,1.25,1000,,,,,,,,,,,,,,
3,0.9138,1.625935162094763e-05,1.87,1500,,,,,,,,,,,,,,
4,,,2.0,1604,1.000810146331787,0.5421085464753587,0.5340430787304384,0.5421085464753587,0.4181658557349619,0.5266016916788733,543.7775,5.896,0.37,,,,,
5,0.768,1.5012468827930176e-05,2.49,2000,,,,,,,,,,,,,,
6,,,3.0,2406,1.114592432975769,0.5474111041796631,0.5269279022533501,0.5474111041796631,0.42988540509254225,0.5300339610123679,575.1263,5.574,0.349,,,,,
7,0.667,1.3765586034912719e-05,3.12,2500,,,,,,,,,,,,,,
8,0.4882,1.2518703241895263e-05,3.74,3000,,,,,,,,,,,,,,
9,,,4.0,3208,1.3947588205337524,0.5246412975670618,0.5210836097081869,0.5246412975670618,0.42653344840311913,0.5188732773593179,517.1046,6.2,0.389,,,,,
10,0.3879,1.1271820448877806e-05,4.36,3500,,,,,,,,,,,,,,
11,0.3175,1.002493765586035e-05,4.99,4000,,,,,,,,,,,,,,
12,,,5.0,4010,1.696579098701477,0.5240174672489083,0.5221733483748983,0.5240174672489083,0.4345486872021428,0.5224976587262354,559.7423,5.728,0.359,,,,,
13,0.2025,8.778054862842892e-06,5.61,4500,,,,,,,,,,,,,,
14,,,6.0,4812,2.0386803150177,0.5224578914535246,0.5204028956925404,0.5224578914535246,0.4366027203491375,0.5207622319691472,476.7333,6.725,0.422,,,,,
15,0.1772,7.531172069825436e-06,6.23,5000,,,,,,,,,,,,,,
16,0.1447,6.284289276807981e-06,6.86,5500,,,,,,,,,,,,,,
17,,,7.0,5614,2.45442533493042,0.5199625701809107,0.5205902816185479,0.5199625701809107,0.43327580402976973,0.5202701091499432,515.8565,6.215,0.39,,,,,
18,0.1061,5.037406483790524e-06,7.48,6000,,,,,,,,,,,,,,
19,,,8.0,6416,2.810185194015503,0.5262008733624454,0.5135820329962902,0.5262008733624454,0.424520810518344,0.5182312442932682,531.236,6.035,0.378,,,,,
20,0.097,3.7905236907730676e-06,8.1,6500,,,,,,,,,,,,,,
21,0.0736,2.543640897755611e-06,8.73,7000,,,,,,,,,,,,,,
22,,,9.0,7218,3.04835844039917,0.527760449157829,0.5146182641171368,0.527760449157829,0.425864077622882,0.5190537413240538,614.6228,5.216,0.327,,,,,
23,0.0726,1.2967581047381548e-06,9.35,7500,,,,,,,,,,,,,,
24,0.057,4.987531172069826e-08,9.98,8000,,,,,,,,,,,,,,
25,,,10.0,8020,3.1322879791259766,0.5246412975670618,0.5169465021952429,0.5246412975670618,0.4326442037943855,0.5201216049569252,666.3584,4.811,0.302,,,,,
26,,,10.0,8020,,,,,,,,,,69786.5386,1.837,0.115,4245731554713600.0,0.41009697292808284
