,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_macro_f1,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.088,1.7506234413965088e-05,0.62,500,,,,,,,,,,,,,,
1,,,1.0,802,0.9820725917816162,0.5639426076107299,0.5343869485569699,0.5639426076107299,0.3846701327062806,0.5181119535762752,648.4777,4.944,0.31,,,,,
2,0.9865,1.5012468827930176e-05,1.25,1000,,,,,,,,,,,,,,
3,0.8925,1.2518703241895263e-05,1.87,1500,,,,,,,,,,,,,,
4,,,2.0,1604,0.9497655034065247,0.5698689956331878,0.5847683354087186,0.5698689956331878,0.4808115470461283,0.5638099455352094,612.4468,5.235,0.328,,,,,
5,0.7605,1.002493765586035e-05,2.49,2000,,,,,,,,,,,,,,
6,,,3.0,2406,1.0376427173614502,0.5676855895196506,0.570108720279781,0.5676855895196506,0.48946239303752564,0.565820359987216,612.1548,5.237,0.328,,,,,
7,0.6872,7.531172069825436e-06,3.12,2500,,,,,,,,,,,,,,
8,0.5543,5.037406483790524e-06,3.74,3000,,,,,,,,,,,,,,
9,,,4.0,3208,1.1955866813659668,0.5611353711790393,0.547904636968695,0.5611353711790393,0.46646274342436733,0.5523238127026842,648.6244,4.943,0.31,,,,,
10,0.4645,2.543640897755611e-06,4.36,3500,,,,,,,,,,,,,,
11,0.4286,4.987531172069826e-08,4.99,4000,,,,,,,,,,,,,,
12,,,5.0,4010,1.2772220373153687,0.5608234560199625,0.5504731353557428,0.5608234560199625,0.470197148071513,0.5541978194881327,650.2773,4.93,0.309,,,,,
13,,,5.0,4010,,,,,,,,,,40608.6594,1.578,0.099,2122865777356800.0,0.7319066514992655
